,TestStatistic,1840pad,1840pbe,1840pcf,10310_4134pa,ski2008pa,23182pa,7207_339pa,SCRAPIE,9914_1261pa,2867pbd,2867pac,SCA,19677_1261pa,19677_1261pb,HD,14499pab,AllIndStudies,Meta,TestStatistic
,,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,all scrp,SCA,SCA,SCA,all SCA,Huntington,Huntington,all HD,Alzheim,,,
NM_008287,-1.13636199651138,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.13636199651138
NM_008312,-0.370574224093894,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-0.370574224093894
NM_008321,2.56193120283409,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.56193120283409
NM_008330,-2.9044459158205,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-2.9044459158205
NM_008349,-2.530009872662,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-2.530009872662
NM_008397,-1.21603180384523,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.21603180384523
NM_008416,1.14261241497255,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.14261241497255
NM_008445,-1.33124452473584,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.33124452473584
NM_008490,-2.29921059965502,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.29921059965502
NM_008492,1.05651555600658,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.05651555600658
NM_008495,0.978816764989394,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.978816764989394
NM_008507,3.20094561066944,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.20094561066944
NM_008516,0.338561438291637,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.338561438291637
NM_008517,-2.83933153522991,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-2.83933153522991
NM_008535,1.35099241986107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.35099241986107
NM_008562,1.57866170328668,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.57866170328668
NM_008587,1.54804619761044,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.54804619761044
NM_008591,-1.92190502631552,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.92190502631552
NM_008595,-0.417659720874916,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.417659720874916
NM_008618,2.92097853378066,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.92097853378066
NM_008625,0.285190680500659,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.285190680500659
NM_008633,0.50712096757102,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.50712096757102
